subject,with_brown_rules,prompt_type,poem_text,ai_vector,brown_sim_1,brown_sim_2,brown_sim_3,brown_sim_4,brown_sim_5,average_similarity_score
men & women,False,specific,"

A man folds silence into his heavy hands, 
The weight of words stalled where touch begins. 

The weight of words stalled where touch begins, 
A woman cups her heart, braced for the storm. 

A woman cups her heart, braced for the storm, 
While men bring peace in fragments, ill-defined. 

While men bring peace in fragments, ill-defined, 
Women hold sorrow like a thread to weave. 

Women hold sorrow like a thread to weave, 
Men fray their edges, stitching fears with hope. 

Men fray their edges, stitching fears with hope, 
Each searching the other's darkness for their light. 

Each searching the other's darkness for their light, 
And folding silence into heavy hands.This circle of longing, connection, and understanding reflects the subtle tension and harmony in relationships, framed in the Duplex form.","[0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 0 0 4 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2
 0 0 0 0 0]",0.26,0.58,0.51,0.44,0.45,0.45
mythology & folklore,False,general,"They whisper truths in cloaks of dream and fable, 
Shadows carved from ancient fire's cradle. 

Shadows carved from ancient fire's cradle, 
Gods and ghosts tread paths both firm and unstable. 

Gods and ghosts tread paths both firm and unstable 
From roots of oak, the green man watches, unable. 

From roots of oak, the green man watches, unable, 
To speak the riddled lore the winds are able. 

To speak the riddled lore the winds are able, 
Sirens hum hymns where realities are breakable. 

Sirens hum hymns where realities are breakable, 
Legends bloom in realms of the unimaginable. 

Legends bloom in realms of the unimaginable 
They whisper truths in cloaks of dream and fable.This duplex mirrors the cyclical, interconnected nature of myth, echoing the timelessness and fluidity of folklore.","[ 0  0  0  0  0  0  0  7  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
  0  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 10  0  2  0  0  0  2  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0]",0.29,0.56,0.49,0.43,0.56,0.47
mythology & folklore,False,figurative,"Each thread of truth bends shadows into spark, 
A fire that warms the edges of what's left. 

A fire that wakes the beasts who sleep within, 
Their names long carved in riddles on the stone. 

Their names still echo where the storms begin, 
Through woods where roots hold secrets not their own. 

Through woods where roots twist deep and come alive, 
The stories grow, but none can halt their pace. 

The stories grow, and in them we survive, 
A world reborn when night unveils its face.","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 6 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 3 1 0
 0 0 0 0 0]",0.29,0.5,0.42,0.41,0.49,0.42
mythology & folklore,False,specific,"Below the waves, a shadow stirs by night, 
Its ache for stars a hunger never fed. 

From depths unseen, it spills a coiling might 
Stretching like thoughts we fear and seek to shed. 

Its countless arms unfurl to hold the skies, 
While sailors whisper tales to ward their dread. 

A single scream swells where the ocean lies, 
The fragile keel of reason torn to shreds. 

Both beast and story rise from murky pain, 
A power born from fears both sung and said. 

Each myth we craft is tethered to the chain, 
Below the waves, a shadow stirs by night.","[0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0
 0 0 0 0 0]",0.28,0.48,0.42,0.3,0.4,0.38
nature,False,general,"
The earth hums softly beneath my feet. 
Each root claws deeper, chasing the heat. 

Each root claws deeper, chasing the heat. 
Night drips dew where silence and soil meet. 

Night drips dew where silence and soil meet 
The trees hold secrets in a language sweet. 

The trees hold secrets in a language sweet, 
Their leaves rustle whispers to the heartbeat. 

Their leaves rustle whispers to the heartbeat, 
Of rivers curling toward the sea's retreat. 

Of rivers curling toward the sea's retreat, 
Mountains crumble slow, yet dreams repeat. 

Mountains crumble slow, yet dreams repeat 
The earth hums softly beneath my feet.This form's cyclical nature complements the perpetual rhythms of the natural world, evoking its constancy and interconnectedness.","[ 0  0  0  0  0  0  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  0  0  0  1  0  0  0  2  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0
  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0  2  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0]",0.37,0.61,0.43,0.41,0.53,0.47
nature,False,figurative,"The world hums softlyroots drink from below, 
Veins unseen cradle rivers that never slow. 

Veins cradle rivers; their whispers persist, 
Each thread of earth a map that can't resist. 

Each thread of earth, fragile yet unbroken, 
Holds tales of time in languages unspoken. 

Tales of time drift through air damp with decay, 
Where petals fold and morning cradles the day. 

Where petals fold, the sun begins to gleam, 
Beneath a canopy of shifting green.","[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 2 3 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1
 0 0 0 0 0]",0.27,0.52,0.5,0.34,0.51,0.43
nature,False,specific,"The forest speaks in whispers soft and deep, 
Its secrets buried where the shadows keep. 

Where shadows grow, the tangled roots entwine, 
Beneath the earth, the quiet fibers shine. 

The quiet breath of trees hums low, unseen, 
A language ancient, tangled in the green. 

Inside the green, time slows and filters thin, 
The moss remembers where the rains begin. 

Where rain begins, the river charts its way, 
Its rhythm constant, as the willows sway. 

The willows sway; the forest bows to sleep, 
The forest speaks in whispers, soft and deep.","[ 0  0  0  0  0  0  0  3  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  1  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  3  0  0  0  3  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 15  0  0  0  0  0  1  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0  0]",0.26,0.54,0.38,0.39,0.45,0.4
power,False,general,"Here is a duplex about : 

Power lingers in the weight of a name, 
Each letter carved to hold what we claim. 

Each letter carved to hold what we claim, 
Tongues sharp as knives, or soft as the rain. 

Tongues sharp as knives, or soft as the rain, 
What power is, depends who remains. 

What power is depends who remains, 
A shifting hand, a balance of pain. 

A shifting hand, a balance of pain 
Who has the flame, who holds the chain? 

Who has the flame, who holds the chain? 
The victor writes the rules of the game. 

The victor writes the rules of the game. 
Power lingers in the weight of a name.","[ 0  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  1  0  0  0  0  0  0  0  0  2  3  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  6  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 14  0  0  0  0  0  2  0  0  0  0  0
  0  0  0  0  0  0  0  0  2  0  0  0  4  0  0  6  0  0  0  0  0  0]",0.3,0.59,0.5,0.38,0.44,0.44
power,False,figurative,"A shadow of control curls around the wrist. 
The grip tightens until it's all you feel. 

The grip tightens until it's all you feel, 
Like air turned heavy, thick enough to drown. 

Like air turned heavy, thick enough to drown, 
A force unseen, but pressing just the same. 

A force unseen, but pressing just the same 
It lives in hunger, never satisfied. 

It lives in hunger, never satisfied, 
Taking what it wants with a quiet stare. 

Taking what it wants with a quiet stare, 
Its presence moves without asking, unnamed. 

Its presence moves without asking, unnamed, 
A shadow of control curls around the wrist.This duplex poem weaves through the manifestation of power without explicitly stating it, allowing the form itself to reinforce the cyclical and consuming nature of the concept.","[ 0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  0  0  7  2  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  4  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 10  0  0  0  0  1  3  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  2  0  2  0  0  0]",0.33,0.51,0.42,0.4,0.4,0.41
power,False,specific,"

The storm moves fast, its force a fleeting fist 
I grip the window tight, resisting flight. 

I grip the window tight, resisting flight, 
Outside the trees are bending, black with might. 

Outside the trees are bending, black with might, 
The scent of rain blooms sharp, electric night. 

The scent of rain blooms sharp, electric night 
Power surges, wanting nothing but loss. 

Power surges, wanting nothing but loss, 
We build walls to hold, but who wins the cost? 

We build walls to hold, but who wins the cost? 
The storm's a mirror: to take, to release. 

The storm's a mirror: to take, to release 
The fist dissolves, but leaves its weight, uneased. 

The fist dissolves, but leaves its weight, uneased 
The storm moves fast, its force a fleeting fist.Let me know your thoughts!","[ 0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  4  1  0  0  2  0  0  0  0  0  0
  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  2  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 14  0  0  0  0  0  6  0  0  0  0  0
  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  2  2  0  0  0  1  0]",0.25,0.49,0.46,0.32,0.37,0.38
poetry & poets,False,general,"A poem reflects what words dare not confess, 
Each line a spark, each silence an abyss. 

Each line a spark, each silence an abyss, 
The poet dreams where daylight fears to tread. 

The poet dreams where daylight fears to tread, 
Binding the chaos in a fragile thread. 

Binding the chaos in a fragile thread, 
A verse becomes the truth we've long ignored. 

A verse becomes the truth we've long ignored, 
An alchemy that turns grief into gold. 

An alchemy that turns grief into gold, 
The poet lives where shadows meet the light. 

The poet lives where shadows meet the light, 
A poem reflects what words dare not confess.","[ 0  0  0  0  0  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  2  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2 10  0  0  0  0  0  2  0  0  0  0  2
  0  0  0  0  0  0  0  0  2  0  0  0  2  0  4  0  0  0  0  0  0  0]",0.23,0.47,0.41,0.35,0.36,0.36
poetry & poets,False,figurative,"Words arrive shyly like footsteps on snow. 
What lingers behind us, we barely know. 

What lingers behind us, we barely know: 
A trace, a thread, the breath of what was whole. 

A trace, a thread, the breath of what was whole, 
A song turned loose to echo in the soul. 

A song turned loose to echo in the soul 
Its silence heavy, filling every hole. 

Its silence heavy, filling every hole, 
A bridge between what's fleeting and the goal. 

A bridge between what's fleeting and the goal, 
Always reaching, trying to feel control. 

Always reaching, trying to feel control 
Words arrive shyly, like footsteps on snow.Let me know your thoughts!","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 2 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 2 0 0 2 2 0 0 0 6 0 0 0 0
 0 0 0 1 0]",0.23,0.42,0.43,0.42,0.37,0.37
poetry & poets,False,specific,"A poem must carry what tongue cannot, 
its weight pressing down as silence grows. 

Its weight pressing down as silence grows, 
a poet's hands heavy with absence. 

A poet's hands, heavy with absence, 
shape what the world refuses to hold. 

Shape what the world refuses to hold 
grief, or joy, or mornings steeped in gray. 

Grief, or joy, or mornings steeped in gray, 
all stitched tight in the fold of each word. 

All stitched tight in the fold of each word, 
a prayer escapes before it dissolves. 

A prayer escapes before it dissolves 
a poem must carry what tongue cannot.","[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 4 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2
 0 0 0 0 0]",0.25,0.45,0.43,0.44,0.33,0.38
race & ethnicity,False,general,"

Wilted histories weigh the air with scars, 
Whispers of loss, still echoing from our blood. 

The echoes of loss rise thick in the blood, 
Each name forgotten, a fading root unbound. 

Each root unbound is tethered to the soil, 
Where borders shift but never heal the pain. 

These shifting borders carve wounds of pain, 
Yet hold the stories of lives we've built anew. 

The stories we've built cradle love made new, 
Even as they weather the storms of erasure. 

We weather storms of erasure, yet we sing, 
Through tongues braided with grief and glory. 

Braided tongues weave grief into fresh glory, 
Wilted histories bloom heavy with scars.This duplex navigates the complexities of race and ethnicity by juxtaposing pain and resilience, violence and survival, forming a layered meditation as the lines connect and repeat.","[ 0  0  0  0  0  0  0  5  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  1
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  7  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 10  0  1  0  0  1  1  0  0  0  0  0
  0  0  0  0  0  0  0  0  4  0  0  0  0  0  1  0  3  0  0  0  0  0]",0.35,0.57,0.42,0.41,0.58,0.47
race & ethnicity,False,figurative,"We speak in threads of what has been passed down, 
A patchwork language stitched by many hands. 

A patchwork language stitched by many hands, 
Each seam a story carried cross the years. 

Each seam a story carried cross the years, 
Colored by rhythms carved from distant shores. 

Colored by rhythms carved from distant shores, 
Our roots entwine beneath the soil unseen. 

Our roots entwine beneath the soil unseen, 
Branches tangled where the sun has kissed. 

Branches tangled where the sun has kissed, 
We bloom in fractals shaped by where we've stood. 

We bloom in fractals shaped by where we've stood, 
And each new leaf becomes a part of us. 

And each new leaf becomes a part of us 
We speak in threads of what has been passed down.","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 2 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 6 0 0 0 2 0 4 0 0
 0 0 0 0 0]",0.23,0.4,0.36,0.4,0.44,0.36
race & ethnicity,False,specific,"We carry stories in the shade of our skin, 
Each layer whispering where we've been. 

Each layer whispering where we've been, 
Beneath the surface, a history within. 

Beneath the surface, a history within 
The language of my name, its weight, its hymn. 

The language of my name, its weight, its hymn 
Echoes in silence, loud, and thin. 

Echoes in silence, loud, and thin, 
My tongue shape-shifts to where it begins. 

My tongue shape-shifts to where it begins, 
We carry stories in the shade of our skin.","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 4 0 0 0 0 0 0 0 4 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 4 0 0
 0 0 0 0 0]",0.44,0.52,0.45,0.42,0.57,0.48
relationships,False,general,"

To hold another is to carry their weight, 
A body is heavy with love and with loss. 

The love and the loss press deep into the skin, 
Fingers trace scars and memories remain. 

Memories remain, though time takes the edges, 
We soften the hurt, but we keep the shape. 

To keep the shape, we surrender and rebuild, 
What we lose returns in new disguises. 

In new disguises, the heart learns to endure, 
It beats past silence, it swells past the end. 

Swells past the end, and yet it circles again, 
A body is heavy with love and with loss. 

To carry their weight is to hold another.I hope this resonatesrelationships, after all, carry both lightness and heaviness, a tender cycle of love and its echoes.","[ 0  0  0  1  0  0  0  8  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0
  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  1  0  0  1  0  2  4  0  3  1  0  0  0  0  0  0  0  0  0  4
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 10  0  0  0  1  0  6  0  0  0  0  0
  0  0  0  0  0  0  0  0  4  0  0  0  1  0  0  0  4  0  0  0  0  0]",0.33,0.49,0.42,0.41,0.45,0.42
relationships,False,figurative,"A bridge between usfragile, thin, yet whole, 
Each side mirrors what the other can't name. 

What the other can't name pulses through the air, 
Invisible threads tangled in quiet hands. 

In quiet hands, histories rest and unravel, 
Knots of tenderness and fear we can't untie. 

We can't untie what time has tightly woven, 
Still, the weave bends with the weight of care. 

The weight of care bends and shapes the days, 
Yet the morning glows, and silence holds its ground.","[0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 0 0 0 1
 0 0 0 0 0]",0.27,0.51,0.35,0.43,0.49,0.41
relationships,False,specific,"

The miles between us stretch like fragile thread, 
A pull so taut, it hums beneath the strain. 

A pull so taut, it hums beneath the strain 
Your voice a shadow, echoing through planes. 

Your voice a shadow, echoing through planes, 
Familiar vowels blurred by static's veil. 

Familiar vowels blurred by static's veil, 
I trace our last goodbye on unread mail. 

I trace our last goodbye on unread mail, 
A paper love bound tight by postal hands. 

A paper love bound tight by postal hands, 
And yet, my dream of you still understands. 

And yet, my dream of you still understands 
The miles between us stretch like fragile thread.The Duplex poem is a form created by Jericho Brown. It consists of a chain of couplets, with a repetitive structure in which the second line of one couplet becomes the first line of the next. The final line mirrors the first, bringing the poem full circle.","[ 0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0
  0  0  0  0  0  0  0  2  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  1  1  0  3  0  0  2  0  0  0  0  2  0  0  2
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0
  0  6  2  1  0  2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0
  0  0  0  0  0  0  0  0  0  0  0  0 11  0  0  0  0  2  0  0  0  0  0  0
  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  1  0  2  0  2  0]",0.4,0.53,0.4,0.44,0.53,0.46
romantic love,False,general,"

I found you waiting where the quiet stirred. 
A voice that met me, soft as quiet stirred. 

Your hands were warmth I didn't know I'd need, 
A calm to match the heat my heart would need. 

We made a tender world beneath the moon, 
A world that cried of joy beneath the moon. 

The stars looked down, they knew what we became 
Two souls who burned and didn't fear the flames. 

Your breath, the wind that holds me safe, in time 
I'll echo it forever, safe, in time. 

Though love may change, its roots remain so clear 
Your eyes remind me all I need is here. 

I found you waiting where the quiet stirred. 
Your voice became the song my soul had heard.","[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
 0 0 0 0 0 0 0 2 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 2 0 0
 0 0 2 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 3 9 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 2 1 0
 0 2 0 4 0]",0.31,0.54,0.49,0.49,0.45,0.46
